Chidamber-Kemerer metrics,Wed, 13 May 2020 14:56:17 CEST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"net.sf.jabref.gui.exporter.ExportCustomizationDialog.ExportTableFormat",2,0,3,0,4,6
"net.sf.jabref.gui.exporter.ExportFileFilter",2,0,3,0,10,11
"net.sf.jabref.gui.exporter.ExportToClipboardAction",13,1,1,0,20,9
"net.sf.jabref.gui.exporter.RtfSelection",1,0,2,0,6,6
"net.sf.jabref.gui.exporter.SaveAllAction",12,1,1,0,18,6
"net.sf.jabref.gui.exporter.SaveDatabaseAction",30,1,1,0,89,40
"net.sf.jabref.gui.fieldeditors.FieldEditor",n/a,n/a,n/a,n/a,23,n/a
"net.sf.jabref.gui.fieldeditors.FieldEditorFocusListener",5,0,2,0,4,4
"net.sf.jabref.gui.fieldeditors.FieldNameLabel",5,0,2,0,4,3
"net.sf.jabref.gui.fieldeditors.FileListEditor",33,0,17,0,75,60
"net.sf.jabref.gui.fieldeditors.FileListEditor.TableClickListener",3,0,1,0,6,10
"net.sf.jabref.gui.fieldeditors.FileListEditorTransferHandler",8,0,3,1,18,15
"net.sf.jabref.gui.fieldeditors.HtmlTransferable",2,0,1,0,5,8
"net.sf.jabref.gui.fieldeditors.JTextAreaWithHighlighting",10,0,2,1,13,19
"net.sf.jabref.gui.fieldeditors.PreviewPanelTransferHandler",6,1,2,0,8,4
"net.sf.jabref.gui.fieldeditors.TextArea",10,1,12,0,27,21
"net.sf.jabref.gui.fieldeditors.TextField",14,0,13,0,32,29
"net.sf.jabref.gui.fieldeditors.contextmenu.CaseChangeMenu",4,0,0,0,5,2
"net.sf.jabref.gui.fieldeditors.contextmenu.ConversionMenu",4,0,0,0,5,2
"net.sf.jabref.gui.fieldeditors.contextmenu.FieldTextMenu",12,0,4,0,22,13
"net.sf.jabref.gui.fieldeditors.contextmenu.FieldTextMenu.ReplaceAction",4,0,1,0,6,3
"net.sf.jabref.gui.fieldeditors.contextmenu.ProtectedTermsMenu",9,0,1,0,13,7
"net.sf.jabref.gui.groups.AddToGroupAction",14,0,1,0,27,15
"net.sf.jabref.gui.groups.AutoGroupDialog",20,0,1,0,15,9
"net.sf.jabref.gui.groups.EntryTableTransferHandler",17,0,4,0,39,39
"net.sf.jabref.gui.groups.GroupAddRemoveDialog",14,0,1,0,24,18
