Lines of code metrics,Thu, 7 May 2020 15:52:30 CEST
Package,C(rec),Ca,Ce,CLOC(rec),COM_RAT(rec),Cyclic,I,LOC(rec),METH(rec),v(G)avg
"org.jabref.shared.prefs",1,5,3,1,0.98%,110,0.38,102,21,1.05
"org.jabref.shared.security",1,3,0,1,1.75%,0,0.00,57,4,1.00

Module,L(CSS),L(Groovy),L(HTML),L(J),L(JS),L(JSP),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"JabRef.main",262,0,0,"112,264",0,0,0,465,"112,991","112,991",0,"95,379","95,379",0

FileType,LOC,NCLOC
"Cascading style sheet",262,238
"Java","112,264","94,676"
"XML",465,465

Project,L(CSS),L(Groovy),L(HTML),L(J),L(JS),L(JSP),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"project",262,0,0,"112,264",0,0,0,465,"112,991","112,991",0,"95,379","95,379",0

