src.main.java.net.sf.jabref.gui.EntryMarker.java,,1,6,1,,,,,,
src.main.java.net.sf.jabref.gui.menus.RightClickMenu.java,,2,9,7,1,,,,,
src.main.java.net.sf.jabref.gui.mergeentries.MergeEntries.java,,1,5,4,,,,,,
src.main.java.net.sf.jabref.logic.bibtex.BibEntryWriter.java,,1,5,2,,1,,,,
src.main.java.net.sf.jabref.logic.openoffice.OOUtil.java,,1,2,1,,1,,,,
src.main.java.net.sf.jabref.importer.fetcher.SpringerFetcher.java,,2,,,,,,,,
src.main.java.net.sf.jabref.importer.fileformat.JSONEntryParser.java,,2,,,,,,,,
src.main.java.net.sf.jabref.logic.integrity.IntegrityCheck.java,,1,7,12,3,3,,,,
src.test.java.net.sf.jabref.logic.integrity.IntegrityCheckTest.java,,1,3,12,3,5,,,,
src.main.java.net.sf.jabref.gui.GUIGlobals.java,,1,9,2,1,,,,,
src.main.java.net.sf.jabref.gui.keyboard.EmacsKeyBindings.java,,1,2,,,,,,,
src.main.java.net.sf.jabref.gui.preftabs.EntryEditorPrefsTab.java,,2,3,2,,,,,,
,,4,50,65,14,728,12,32,1,372
src.test.java.net.sf.jabref.logic.fulltext.MimeTypeDetectorTest.java,,1,,,,,,,,
src.test.resources.net.sf.jabref.logic.fulltext.empty.pdf,,1,,,,,,,,
src.main.java.net.sf.jabref.exporter.BibDatabaseWriter.java,,3,,,,,,,,
src.main.java.net.sf.jabref.logic.bibtex.comparator.IdComparator.java,,1,1,,,1,,,,
src.test.java.net.sf.jabref.logic.groups.SearchGroupTest.java,,1,3,,,,,,,
src.main.resources.l10n.Menu_sv.properties,,3,4,9,5,10,6,,,
src.main.java.net.sf.jabref.gui.IconTheme.java,,1,3,2,1,,,,,
src.main.java.net.sf.jabref.gui.actions.OpenBrowserAction.java,,1,,,,,,,,
src.main.resources.l10n.Menu_da.properties,,1,3,9,5,10,6,,,
src.main.resources.l10n.Menu_de.properties,,1,5,10,5,12,8,,,
src.main.resources.l10n.Menu_en.properties,,1,3,10,5,9,3,,,1
src.main.resources.l10n.Menu_es.properties,,1,3,10,5,11,6,1,,
src.main.resources.l10n.Menu_fa.properties,,1,3,9,5,11,6,,,
src.main.resources.l10n.Menu_fr.properties,,1,8,12,5,17,6,,,
src.main.resources.l10n.Menu_in.properties,,1,3,9,5,10,6,,,
src.main.resources.l10n.Menu_it.properties,,1,4,10,5,13,6,1,,
src.main.resources.l10n.Menu_ja.properties,,1,3,17,6,12,6,,,
src.main.resources.l10n.Menu_nl.properties,,1,3,9,5,10,6,,,
src.main.resources.l10n.Menu_no.properties,,1,3,9,5,11,6,,,
src.main.resources.l10n.Menu_pt_BR.properties,,1,3,9,5,10,7,,,
src.main.resources.l10n.Menu_ru.properties,,1,3,10,5,12,7,,,
src.main.resources.l10n.Menu_tr.properties,,1,5,12,5,11,6,,,
src.main.resources.l10n.Menu_vi.properties,,1,3,12,5,11,6,,1,
src.main.resources.l10n.Menu_zh.properties,,1,3,10,6,13,6,,,
src.main.resources.resource.layout.html.begin.layout,,1,,,,,,,,
src.main.java.net.sf.jabref.gui.labelpattern.ResolveDuplicateLabelDialog.java,,1,,,,,,,,
src.main.java.net.sf.jabref.gui.labelpattern.SearchFixDuplicateLabels.java,,2,,,,,,,,
src.main.java.net.sf.jabref.importer.fileformat.MedlinePlainImporter.java,,2,,,,,,,,
src.main.java.net.sf.jabref.importer.fileformat.PdfContentImporter.java,,3,,,,,,,,
src.main.java.net.sf.jabref.logic.cleanup.FieldFormatterCleanup.java,,2,3,,,,,,,
src.main.java.net.sf.jabref.logic.util.BuildInfo.java,,2,1,2,,1,,,,
src.main.java.net.sf.jabref.logic.util.Version.java,,8,2,3,1,2,,,,
src.main.java.net.sf.jabref.model.database.EntrySorter.java,,2,2,1,,,,,,
src.test.java.net.sf.jabref.logic.util.version.VersionTest.java,,6,,,,,,,,
src.test.java.net.sf.jabref.logic.cleanup.CleanupWorkerTest.java,,4,12,6,3,1,,,,
src.main.java.net.sf.jabref.gui.groups.UndoableChangeEntriesOfGroup.java,,2,1,1,2,,,,,
.travis.yml,,3,5,4,10,10,5,2,2,20
src.main.java.net.sf.jabref.event.FieldChangedEvent.java,,1,,,,,,,,
src.main.java.net.sf.jabref.exporter.FieldFormatterCleanups.java,,2,,,,,,,,
src.main.java.net.sf.jabref.exporter.SaveSession.java,,1,,,,,,,,
src.main.java.net.sf.jabref.gui.actions.CleanupAction.java,,3,5,3,,,,,,
src.main.java.net.sf.jabref.gui.actions.ManageKeywordsAction.java,,2,3,3,,,,,,
src.main.java.net.sf.jabref.gui.preftabs.GroupsPrefsTab.java,,1,3,,,,,,,
src.main.java.net.sf.jabref.gui.undo.UndoableFieldChange.java,,1,3,1,,,,,,
src.main.java.net.sf.jabref.importer.fetcher.IEEEXploreFetcher.java,,1,,,,,,,,
src.main.java.net.sf.jabref.importer.fileformat.RepecNepImporter.java,,2,,,,,,,,
src.main.java.net.sf.jabref.logic.TypedBibEntry.java,,1,3,3,1,2,,,,
src.main.java.net.sf.jabref.logic.cleanup.CleanupJob.java,,1,1,,,,,,,
src.main.java.net.sf.jabref.logic.cleanup.CleanupWorker.java,,2,5,5,2,1,,,,
src.main.java.net.sf.jabref.logic.cleanup.DoiCleanup.java,,1,5,2,,1,,,,
src.main.java.net.sf.jabref.logic.cleanup.FileLinksCleanup.java,,1,2,2,,1,,,,
src.main.java.net.sf.jabref.logic.cleanup.MoveFilesCleanup.java,,1,1,3,2,1,,,,
src.main.java.net.sf.jabref.logic.cleanup.RelativePathsCleanup.java,,1,1,3,2,1,,,,
src.main.java.net.sf.jabref.logic.cleanup.RenamePdfCleanup.java,,2,7,4,2,1,,,,
src.main.java.net.sf.jabref.logic.cleanup.UpgradePdfPsToFileCleanup.java,,1,3,3,,1,,,,
src.main.java.net.sf.jabref.logic.groups.EntriesGroupChange.java,,1,1,,,,,,,
src.main.java.net.sf.jabref.logic.layout.format.RisKeywords.java,,1,2,1,,1,,,,
src.main.java.net.sf.jabref.logic.util.UpdateField.java,,1,5,1,,3,,,,
src.main.java.net.sf.jabref.logic.util.date.TimeStamp.java,,1,2,,,,,,,
src.main.java.net.sf.jabref.migrations.FileLinksUpgradeWarning.java,,2,8,4,,,,,,
src.main.java.net.sf.jabref.model.FieldChange.java,,1,2,,,,,,,
src.test.java.net.sf.jabref.logic.util.UpdateFieldTest.java,,1,1,1,,1,,,,
