Chidamber-Kemerer metrics,Mon, 18 May 2020 19:36:03 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
net.sf.jabref.gui.EntryTypeDialog,16,11,0,3,2,0,1.57,0.67,21,11
net.sf.jabref.gui.EntryTypeDialog.CancelAction,1,2,0,1,2,0,1,0.5,2,2
net.sf.jabref.gui.EntryTypeDialog.TypeButton,2,4,0,1,4,0,1,1,4,3
net.sf.jabref.gui.EntryTypeList,10,42,1,2,49,0,2.25,1.12,16,18
net.sf.jabref.gui.FetcherPreviewDialog,13,17,0,5,7,0,1.6,1.22,27,16
net.sf.jabref.gui.FetcherPreviewDialog.EntryTable,3,6,0,4,12,0,1.4,1.8,10,7
net.sf.jabref.gui.FetcherPreviewDialog.EntryTableFormat,3,6,0,3,4,0,2,1,6,6
net.sf.jabref.gui.FetcherPreviewDialog.PreviewRenderer,1,2,0,1,2,0,1,6,1,1
net.sf.jabref.gui.FetcherPreviewDialog.TableEntry,3,7,0,2,0,0,1,0.75,4,4
net.sf.jabref.gui.FieldContentSelector,10,9,0,1,47,0,2.8,2.33,13,14
net.sf.jabref.gui.FieldSetComponent,8,32,0,1,118,1,2.76,1.59,20,47
net.sf.jabref.gui.FileDialogs,22,9,0,1,45,0,3.11,6,13,28
net.sf.jabref.gui.FileListEntry,30,9,0,1,14,0,1.17,1.33,6,7
net.sf.jabref.gui.FileListEntryEditor,19,29,0,6,16,0,2,0.92,38,38
net.sf.jabref.gui.FileListEntryEditor.BrowseListener,6,4,0,1,16,0,2,1.5,8,4
net.sf.jabref.gui.FileListTableModel,33,17,0,4,52,0,2,1.25,29,32
net.sf.jabref.gui.FindUnlinkedFilesDialog,21,75,0,2,2,0,2.08,1.08,51,75
net.sf.jabref.gui.FindUnlinkedFilesDialog.BibtexEntryTypeWrapper,3,4,0,1,2,0,1.33,0.33,5,4
net.sf.jabref.gui.FindUnlinkedFilesDialog.CheckableTreeNode,3,7,0,2,5,0,1.2,0.4,5,6
net.sf.jabref.gui.FindUnlinkedFilesDialog.CheckboxTreeCellRenderer,3,2,0,1,15,0,3,7,4,3
net.sf.jabref.gui.FindUnlinkedFilesDialog.FileNodeWrapper,3,5,0,0,2,0,1,1,3,3
net.sf.jabref.gui.GUIGlobals,36,18,0,2,93,0,2,0.33,28,6
net.sf.jabref.gui.GenFieldsCustomizer,12,19,0,1,93,0,1.83,0.2,22,11
net.sf.jabref.gui.GlobalFocusListener,6,5,0,2,2,0,1.25,0.75,4,5
net.sf.jabref.gui.IconTheme,94,12,0,1,29,0,2,1.33,6,6
net.sf.jabref.gui.IconTheme.FontBasedIcon,8,11,0,1,10,0,1,1.25,8,8
net.sf.jabref.gui.IconTheme.JabRefIcon,88,101,n/a,1,n/a,n/a,1,0.6,7,5
net.sf.jabref.gui.ImportInspectionDialog,45,59,0,6,29,0,2.27,1.05,88,50
net.sf.jabref.gui.ImportInspectionDialog.AddToGroupAction,3,3,0,1,14,0,2,1,8,4
net.sf.jabref.gui.ImportInspectionDialog.AttachUrl,3,2,0,1,20,0,2.5,0.5,11,5
net.sf.jabref.gui.ImportInspectionDialog.AutoSetLinks,7,2,0,1,26,0,3,0.5,15,6
net.sf.jabref.gui.ImportInspectionDialog.CallBack,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
net.sf.jabref.gui.ImportInspectionDialog.DeleteListener,4,3,0,1,19,0,1.67,0.33,10,5
