V5-0,Mon, 18 May 2020 19:09:08 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
org.jabref.logic.journals.AbbreviationFormat,2,5,0,1,5,0,1,0,2,2
org.jabref.logic.journals.AbbreviationParser,5,7,0,1,31,0,2,1,7,10
org.jabref.logic.journals.AbbreviationWriter,3,2,0,1,12,0,2,1.5,7,4
org.jabref.logic.journals.JournalAbbreviationLoader,32,13,0,1,41,0,1.62,0.75,18,13
org.jabref.logic.journals.JournalAbbreviationPreferences,9,11,0,4,0,0,1,0.86,7,7
org.jabref.logic.journals.JournalAbbreviationRepository,14,15,0,2,45,0,1.07,1,18,15
org.jabref.logic.l10n.Encodings,3,5,0,1,15,0,1,0,2,2
org.jabref.logic.l10n.Language,5,27,n/a,2,n/a,n/a,1.5,0.75,4,6
org.jabref.logic.l10n.Localization,351,11,0,1,7,0,1.86,1.14,14,13
org.jabref.logic.l10n.Localization.LocalizationBundle,1,6,0,2,7,0,1,0.6,5,5
org.jabref.logic.l10n.LocalizationKey,2,5,0,1,12,0,1,0.25,4,4
org.jabref.logic.l10n.LocalizationKeyParams,2,4,0,1,7,0,2,1,4,4
org.jabref.logic.l10n.LocalizationLocator,1,1,0,1,1,0,1,1,2,1
org.jabref.logic.layout.AbstractParamLayoutFormatter,6,5,0,1,n/a,5,5,0.5,2,10
org.jabref.logic.layout.Layout,15,9,0,2,23,0,3.5,1.17,12,21
org.jabref.logic.layout.LayoutEntry,84,21,0,1,143,0,12.23,1.38,40,159
org.jabref.logic.layout.LayoutFormatter,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.logic.layout.LayoutFormatterBasedFormatter,3,14,1,1,9,0,1,0.33,7,6
org.jabref.logic.layout.LayoutFormatterPreferences,21,13,0,5,4,0,1,0.88,8,8
org.jabref.logic.layout.LayoutHelper,9,27,0,2,67,0,5.17,0.42,14,62
org.jabref.logic.layout.ParamLayoutFormatter,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.logic.layout.StringInt,4,3,0,0,0,0,1,2,1,1
org.jabref.logic.layout.format.AuthorAbbreviator,4,2,0,1,2,0,1,1,3,1
org.jabref.logic.layout.format.AuthorAndToSemicolonReplacer,2,2,0,1,1,0,1,1,1,1
org.jabref.logic.layout.format.AuthorAndsCommaReplacer,3,2,0,1,7,0,5,1,1,5
org.jabref.logic.layout.format.AuthorAndsReplacer,3,2,0,1,7,0,6,1,1,6
org.jabref.logic.layout.format.AuthorFirstAbbrLastCommas,3,2,0,1,1,0,1,1,2,1
org.jabref.logic.layout.format.AuthorFirstAbbrLastOxfordCommas,3,2,0,1,1,0,1,1,2,1
org.jabref.logic.layout.format.AuthorFirstFirst,3,2,0,1,1,0,1,1,2,1
org.jabref.logic.layout.format.AuthorFirstFirstCommas,3,2,0,1,1,0,1,1,2,1
org.jabref.logic.layout.format.AuthorFirstLastCommas,3,2,0,1,1,0,1,1,2,1
org.jabref.logic.layout.format.AuthorFirstLastOxfordCommas,3,2,0,1,1,0,1,1,2,1
org.jabref.logic.layout.format.AuthorLF_FF,3,2,0,1,2,0,1,1,3,1
org.jabref.logic.layout.format.AuthorLF_FFAbbr,3,2,0,1,2,0,1,1,3,1
org.jabref.logic.layout.format.AuthorLastFirst,3,2,0,1,1,0,1,1,2,1
org.jabref.logic.layout.format.AuthorLastFirstAbbrCommas,3,2,0,1,1,0,1,1,2,1
org.jabref.logic.layout.format.AuthorLastFirstAbbrOxfordCommas,3,2,0,1,1,0,1,1,2,1
org.jabref.logic.layout.format.AuthorLastFirstAbbreviator,3,2,0,1,1,0,1,1,2,1
org.jabref.logic.layout.format.AuthorLastFirstCommas,3,2,0,1,1,0,1,1,2,1
org.jabref.logic.layout.format.AuthorLastFirstOxfordCommas,3,2,0,1,1,0,1,1,2,1
org.jabref.logic.layout.format.AuthorNatBib,3,2,0,1,1,0,1,1,2,1
org.jabref.logic.layout.format.AuthorOrgSci,4,2,0,1,11,0,3,1,7,3
org.jabref.logic.layout.format.Authors,4,38,1,1,132,0,11.2,1.8,14,56
org.jabref.logic.layout.format.CompositeFormat,2,6,0,1,4,0,1.25,1,5,5
org.jabref.logic.layout.format.CreateBibORDFAuthors,3,3,0,1,17,0,2.5,2,2,5
org.jabref.logic.layout.format.CreateDocBook4Authors,6,2,0,1,4,0,1,1,4,1
org.jabref.logic.layout.format.CreateDocBook4Editors,6,2,0,1,4,0,1,1,4,1
org.jabref.logic.layout.format.CreateDocBook5Authors,6,2,0,1,4,0,1,1,4,1
org.jabref.logic.layout.format.CreateDocBook5Editors,6,2,0,1,4,0,1,1,4,1
org.jabref.logic.layout.format.CurrentDate,2,3,0,1,5,0,2,1,1,2
org.jabref.logic.layout.format.DOICheck,3,2,0,1,5,0,3,1,2,3
org.jabref.logic.layout.format.DOIStrip,3,2,0,1,3,0,2,1,2,2
org.jabref.logic.layout.format.DateFormatter,2,5,0,1,3,0,1,1,2,2
org.jabref.logic.layout.format.Default,2,5,0,1,1,0,1.5,1,2,3
org.jabref.logic.layout.format.DocBookAuthorFormatter,8,2,0,1,45,0,5,4,8,5
org.jabref.logic.layout.format.DocBookVersion,5,2,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.logic.layout.format.EntryTypeFormatter,4,2,0,1,2,0,1,1,3,1
org.jabref.logic.layout.format.FileLink,5,7,0,1,18,0,3.33,1,9,10
org.jabref.logic.layout.format.FileLinkPreferences,4,5,0,2,0,0,1,0.67,3,3
org.jabref.logic.layout.format.FirstPage,3,2,0,1,1,0,3,1,1,3
org.jabref.logic.layout.format.FormatPagesForHTML,2,2,0,1,1,0,1,1,1,1
org.jabref.logic.layout.format.FormatPagesForXML,2,2,0,1,1,0,1,1,1,1
org.jabref.logic.layout.format.GetOpenOfficeType,4,2,0,1,14,0,15,1,1,15
org.jabref.logic.layout.format.HTMLChars,4,4,0,1,64,0,17,1,3,34
org.jabref.logic.layout.format.HTMLParagraphs,2,3,0,1,16,0,5,1,1,5
org.jabref.logic.layout.format.IfPlural,2,7,1,1,6,0,2.5,1,3,5
org.jabref.logic.layout.format.Iso690FormatDate,3,2,0,1,19,0,5,1,1,5
org.jabref.logic.layout.format.Iso690NamesAuthors,3,2,0,1,40,0,10,1,1,10
org.jabref.logic.layout.format.JournalAbbreviator,5,5,0,1,5,0,1,1.5,4,2
org.jabref.logic.layout.format.LastPage,3,2,0,1,1,0,4,1,1,4
org.jabref.logic.layout.format.LatexToUnicodeFormatter,10,13,1,5,3,0,1,0.2,7,5
org.jabref.logic.layout.format.NameFormatter,7,8,0,2,32,0,4,1.6,10,20
org.jabref.logic.layout.format.NameFormatterPreferences,3,5,0,2,0,0,1,0.67,3,3
org.jabref.logic.layout.format.NoSpaceBetweenAbbreviations,2,2,0,1,1,0,1,1,1,1
org.jabref.logic.layout.format.NotFoundFormatter,3,5,0,1,1,0,1,0.67,4,3
org.jabref.logic.layout.format.Number,3,4,0,2,1,0,1,1,2,2
org.jabref.logic.layout.format.Ordinal,2,3,0,1,8,0,7,1,1,7
org.jabref.logic.layout.format.RTFChars,5,6,0,1,63,0,25,1.67,6,75
org.jabref.logic.layout.format.RemoveBrackets,5,2,0,1,4,0,3,1,1,3
org.jabref.logic.layout.format.RemoveBracketsAddComma,2,2,0,1,5,0,4,1,1,4
org.jabref.logic.layout.format.RemoveLatexCommandsFormatter,5,2,0,1,22,0,14,1,1,14
org.jabref.logic.layout.format.RemoveTilde,3,2,0,1,6,0,4,1,1,4
org.jabref.logic.layout.format.RemoveWhitespace,4,2,0,1,6,0,4,1,1,4
org.jabref.logic.layout.format.Replace,2,7,1,1,5,0,2,1,3,4
org.jabref.logic.layout.format.ReplaceUnicodeLigaturesFormatter,5,15,1,5,10,0,1.33,0.17,8,8
org.jabref.logic.layout.format.RisAuthors,5,5,0,1,7,0,2.5,1,3,5
org.jabref.logic.layout.format.RisKeywords,5,2,0,1,7,0,4,1,4,4
org.jabref.logic.layout.format.RisMonth,3,2,0,1,4,0,2,1,2,2
org.jabref.logic.layout.format.ToLowerCase,2,2,0,1,1,0,2,1,1,2
org.jabref.logic.layout.format.ToUpperCase,2,2,0,1,1,0,2,1,1,2
org.jabref.logic.layout.format.WrapContent,2,7,1,1,5,0,3,1,3,6
org.jabref.logic.layout.format.WrapFileLinks,7,20,1,1,0,0,5.8,1,16,29
org.jabref.logic.layout.format.WrapFileLinks.FormatEntry,1,6,0,2,0,0,1,0.5,4,4
org.jabref.logic.layout.format.XMLChars,5,8,0,1,30,0,3.5,1,6,14
org.jabref.logic.logging.JabRefLogger,1,4,0,1,8,0,1,0,8,3
org.jabref.logic.logging.LogMessages,2,7,0,2,4,0,1,0.2,5,5
org.jabref.logic.msbib.BibTeXConverter,11,6,0,1,54,0,3.6,2,14,18
org.jabref.logic.msbib.MSBibConverter,15,5,0,1,100,0,6.67,1.33,19,20
org.jabref.logic.msbib.MSBibDatabase,7,9,0,1,37,0,2.2,0.8,10,11
org.jabref.logic.msbib.MSBibEntry,10,47,0,1,194,0,3.08,1.62,25,40
org.jabref.logic.msbib.MSBibEntryType,1,17,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.logic.msbib.MSBibMapping,10,10,0,4,78,0,1,0.86,12,7
org.jabref.logic.msbib.MsBibAuthor,5,12,0,3,15,0,1.38,0.38,12,11
org.jabref.logic.msbib.PageNumbers,3,9,0,1,23,0,1.6,0.8,5,8
org.jabref.logic.net.ProgressInputStream,2,16,0,6,13,0,1.15,0.62,13,15
org.jabref.logic.net.ProxyAuthenticator,1,1,0,1,12,0,3,0,1,3
org.jabref.logic.net.ProxyPreferences,4,15,0,6,7,0,3.22,0.78,9,29
org.jabref.logic.net.ProxyRegisterer,3,2,0,1,20,0,2,0.5,8,4
org.jabref.logic.net.URLDownload,23,23,0,1,88,0,1.57,0.61,21,33
org.jabref.logic.openoffice.CitationEntry,2,12,0,3,7,0,1.22,1.11,9,11
org.jabref.logic.openoffice.OOBibStyle,24,104,0,3,289,0,2.84,1.14,58,122
org.jabref.logic.openoffice.OOBibStyle.BibStyleMode,1,6,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.logic.openoffice.OOPreFormatter,6,4,0,1,59,0,16.5,1,3,33
org.jabref.logic.openoffice.OOUtil,8,17,0,3,94,0,5,3.29,18,35
org.jabref.logic.openoffice.OOUtil.Formatting,1,8,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.logic.openoffice.OpenOfficeFileSearch,4,5,0,1,46,0,2.8,0.2,5,14
org.jabref.logic.openoffice.OpenOfficePreferences,10,38,0,6,4,0,1,0.95,20,20
org.jabref.logic.openoffice.StyleLoader,7,17,0,1,45,0,2.25,0.62,17,18
org.jabref.logic.openoffice.UndefinedBibtexEntry,4,89,1,1,1,0,1,0.5,3,2
org.jabref.logic.openoffice.UndefinedParagraphFormatException,3,3,0,1,1,0,1,0.5,2,2
org.jabref.logic.pdf.AnnotationImporter,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.logic.pdf.EntryAnnotationImporter,8,4,0,1,14,0,1.33,1,6,4
org.jabref.logic.pdf.FileAnnotationCache,9,7,0,1,17,0,1,1,12,5
org.jabref.logic.pdf.PdfAnnotationImporter,5,6,0,1,66,0,4.25,1.5,25,17
org.jabref.logic.pdf.TextExtractor,1,6,0,1,25,0,1.75,1.25,10,7
org.jabref.logic.preferences.TimestampPreferences,5,13,0,4,3,0,1,0.62,8,8
org.jabref.logic.protectedterms.ProtectedTermsList,7,21,0,2,20,0,1.2,0.93,15,18
org.jabref.logic.protectedterms.ProtectedTermsLoader,14,15,0,1,76,0,2.08,1.33,26,25
org.jabref.logic.protectedterms.ProtectedTermsParser,3,10,0,1,27,0,1.33,1.5,9,8
org.jabref.logic.protectedterms.ProtectedTermsPreferences,2,9,0,4,0,0,1,0.8,5,5
org.jabref.logic.remote.RemotePreferences,5,9,0,3,2,0,1,0.71,7,7
org.jabref.logic.remote.RemoteUtil,1,2,0,1,0,0,1,0.5,2,2
org.jabref.logic.remote.client.RemoteClient,5,7,0,1,20,0,1.25,0.5,10,5
org.jabref.logic.remote.server.MessageHandler,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.logic.remote.server.RemoteListenerServer,5,9,0,1,15,0,2.25,1.25,10,9
org.jabref.logic.remote.server.RemoteListenerServerLifecycle,6,9,0,1,13,0,1.43,0.57,11,10
org.jabref.logic.remote.server.RemoteListenerServerThread,3,5,0,1,7,0,1,0.67,6,3
org.jabref.logic.remote.shared.Protocol,3,10,0,1,17,0,1.2,0.8,5,6
org.jabref.logic.remote.shared.RemoteMessage,3,4,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.logic.search.DatabaseSearcher,5,5,0,1,13,0,1.5,1,5,3
org.jabref.logic.search.SearchQuery,17,25,0,1,46,0,1.63,0.26,25,31
org.jabref.logic.search.SearchQuery.EscapeMode,1,2,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.logic.shared.DBMSConnection,6,9,0,3,17,0,1.5,0.25,12,6
org.jabref.logic.shared.DBMSConnectionProperties,8,39,0,2,68,0,1.53,0.71,29,26
org.jabref.logic.shared.DBMSConnectionPropertiesBuilder,3,21,0,1,1,0,1.09,0.91,13,12
org.jabref.logic.shared.DBMSProcessor,16,31,0,6,n/a,3,2.4,0.67,50,60
org.jabref.logic.shared.DBMSSynchronizer,32,42,0,1,135,0,2,0.78,73,46
org.jabref.logic.shared.MySQLProcessor,2,31,1,2,7,0,1,0.67,4,3
org.jabref.logic.shared.OracleProcessor,8,39,1,2,84,0,1.75,0.62,14,14
org.jabref.logic.shared.PostgreSQLProcessor,7,36,1,1,43,0,1.57,0.57,12,11
org.jabref.logic.shared.event.ConnectionLostEvent,3,3,0,1,0,0,1,0.5,2,2
org.jabref.logic.shared.event.SharedEntriesNotPresentEvent,3,3,0,1,0,0,1,0.5,2,2
org.jabref.logic.shared.event.UpdateRefusedEvent,4,7,0,3,0,0,1,0.75,4,4
org.jabref.logic.shared.exception.InvalidDBMSConnectionPropertiesException,2,1,0,0,1,0,1,0,1,1
org.jabref.logic.shared.exception.NotASharedDatabaseException,1,1,0,0,1,0,1,0,1,1
org.jabref.logic.shared.exception.OfflineLockException,3,5,0,2,1,0,1,0.67,3,3
org.jabref.logic.shared.exception.SharedEntryNotPresentException,1,3,0,1,1,0,1,0.5,2,2
org.jabref.logic.shared.listener.OracleNotificationListener,2,3,0,1,1,0,1,1,3,2
org.jabref.logic.shared.listener.PostgresSQLNotificationListener,3,7,0,1,7,0,2.33,0.67,4,7
org.jabref.logic.shared.prefs.SharedDatabasePreferences,10,41,0,2,59,0,1,0.48,39,27
org.jabref.logic.shared.security.Password,3,9,0,2,18,0,1,1,5,5
org.jabref.logic.specialfields.SpecialFieldsUtils,11,6,0,3,37,0,2.33,3,20,14
org.jabref.logic.texparser.DefaultTexParser,4,22,0,2,63,0,2.75,1.5,12,22
org.jabref.logic.texparser.TexBibEntriesResolver,10,7,0,1,49,0,1,2.5,16,4
org.jabref.logic.undo.AddUndoableActionEvent,3,10,1,0,1,0,1,4,2,1
org.jabref.logic.undo.UndoChangeEvent,3,9,0,4,0,2,1,0.8,5,5
org.jabref.logic.undo.UndoRedoEvent,3,10,1,0,1,0,1,4,2,1
org.jabref.logic.util.BuildInfo,11,21,0,7,19,0,1.11,0.11,10,10
org.jabref.logic.util.DelayTaskThrottler,6,7,0,1,6,0,1.33,0.67,3,4
org.jabref.logic.util.FileType,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jabref.logic.util.JavaVersion,1,8,0,2,12,0,1.83,0.33,6,11
org.jabref.logic.util.MetadataSerializationConfiguration,2,11,0,0,0,0,1,0,1,1
org.jabref.logic.util.OS,40,7,0,0,7,0,1,0,1,1
org.jabref.logic.util.StandardFileType,45,36,n/a,2,n/a,n/a,1.67,0.67,3,5
org.jabref.logic.util.TestEntry,5,3,0,1,28,0,1,0,6,3
org.jabref.logic.util.UpdateField,10,9,0,2,45,0,1.89,3.11,23,17
org.jabref.logic.util.UpdateFieldPreferences,5,15,0,7,0,0,1,0.88,8,8
org.jabref.logic.util.Version,9,27,0,1,83,0,2.6,0.33,17,39
org.jabref.logic.util.Version.DevelopmentStage,1,9,n/a,2,n/a,n/a,2.33,1.33,3,7
org.jabref.logic.util.io.AutoLinkPreferences,4,9,0,4,0,0,1,0.8,5,5
org.jabref.logic.util.io.CiteKeyBasedFileFinder,7,6,0,1,33,0,2.75,2,7,11
org.jabref.logic.util.io.DatabaseFileLookup,5,5,0,2,21,0,1.33,1.33,7,4
org.jabref.logic.util.io.FileFinder,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.logic.util.io.FileFinders,6,1,0,1,4,0,2,1,7,2
org.jabref.logic.util.io.FileHistory,2,9,0,1,10,0,1.14,0.57,7,8
org.jabref.logic.util.io.FileNameCleaner,1,5,0,1,17,0,2,0.75,4,8
org.jabref.logic.util.io.FileUtil,30,22,0,9,112,0,1.95,1.79,25,37
org.jabref.logic.util.io.RegExpBasedFileFinder,7,13,0,1,64,0,3.14,2.86,9,22
org.jabref.logic.util.io.XMLUtil,3,8,0,4,2,0,1.57,1.43,8,11
org.jabref.logic.util.io.XMLUtil.NodeListWrapper,1,4,0,1,2,0,1,0.67,3,3
org.jabref.logic.util.strings.HTMLUnicodeConversionMaps,5,11,0,1,35,0,5.5,0.5,2,11
org.jabref.logic.util.strings.QuotedStringTokenizer,1,9,0,1,12,0,2.25,1,4,9
org.jabref.logic.util.strings.RtfCharMap,1,4,0,1,189,0,1,1,3,3
org.jabref.logic.util.strings.StringLengthComparator,2,1,0,1,4,0,3,2,1,3
org.jabref.logic.util.strings.StringSimilarity,3,4,0,1,4,0,1,2,4,2
org.jabref.logic.util.strings.UnicodeLigaturesMap,1,1,0,0,47,0,1,0,1,1
org.jabref.logic.util.strings.XmlCharsMap,1,1,0,0,107,0,1,0,1,1
org.jabref.logic.xmp.DocumentInformationExtractor,7,9,0,1,31,0,2.14,0.14,20,15
org.jabref.logic.xmp.DublinCoreExtractor,15,27,0,1,148,0,2.33,0.5,46,56
org.jabref.logic.xmp.EncryptedPdfsNotSupportedException,3,0,0,0,0,0,n/a,0,0,0
org.jabref.logic.xmp.XmpPreferences,17,7,0,3,0,0,1,0.75,4,4
org.jabref.logic.xmp.XmpUtilReader,8,8,0,2,37,0,2.17,1.17,16,13
org.jabref.logic.xmp.XmpUtilShared,6,4,0,2,7,0,1,1,4,3
org.jabref.logic.xmp.XmpUtilWriter,13,12,0,2,84,0,2.8,3.3,30,28
org.jabref.migrations.ConvertLegacyExplicitGroups,10,3,0,1,23,0,4,1,11,8
org.jabref.migrations.ConvertMarkingToGroups,13,5,0,1,43,0,3,1,22,9
org.jabref.migrations.CustomEntryTypePreferenceMigration,9,8,0,1,41,0,2,0.67,10,6
org.jabref.migrations.MergeReviewIntoCommentMigration,6,10,0,1,50,0,1.22,1.33,17,11
org.jabref.migrations.PostOpenMigration,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.migrations.PreferencesMigrations,13,16,0,1,178,0,2.8,1.33,36,42
org.jabref.model.ChainNode,2,11,0,1,n/a,1,1.67,0.67,9,15
org.jabref.model.FieldChange,40,12,0,4,7,0,2.5,0.62,10,20
org.jabref.model.TreeNode,14,41,0,1,n/a,1,1.86,0.63,38,69
org.jabref.model.auxparser.AuxParser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.model.auxparser.AuxParserResult,8,21,0,5,4,0,1.07,0.14,17,15
org.jabref.model.bibtexkeypattern.AbstractBibtexKeyPattern,13,14,0,1,n/a,2,1.45,0.67,12,16
org.jabref.model.bibtexkeypattern.DatabaseBibtexKeyPattern,5,16,1,1,1,0,1,1,3,2
org.jabref.model.bibtexkeypattern.GlobalBibtexKeyPattern,13,16,1,2,1,0,1,1,4,3
org.jabref.model.cleanup.CleanupJob,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.model.cleanup.FieldFormatterCleanup,23,13,0,1,28,0,2.1,0.8,19,21
org.jabref.model.cleanup.FieldFormatterCleanups,14,13,0,1,34,0,2.11,0.89,13,19
org.jabref.model.cleanup.Formatter,44,7,0,5,n/a,34,1.5,0.29,7,3
org.jabref.model.database.BibDatabase,122,62,0,4,161,0,1.6,0.9,77,83
org.jabref.model.database.BibDatabaseContext,174,34,0,3,74,0,1.25,0.75,42,35
org.jabref.model.database.BibDatabaseMode,37,6,n/a,2,n/a,n/a,1.5,0.25,5,6
org.jabref.model.database.BibDatabaseModeDetection,6,2,0,1,4,0,1.5,0.5,3,3
org.jabref.model.database.BibDatabases,6,3,0,2,9,0,1.33,0.67,6,4
org.jabref.model.database.DuplicationChecker,9,9,0,2,30,0,1.5,1,13,12
org.jabref.model.database.KeyChangeListener,9,7,0,1,27,0,2.5,2.5,17,15
org.jabref.model.database.KeyCollisionException,8,6,0,1,4,0,1,1,5,5
org.jabref.model.database.event.AutosaveEvent,2,0,0,0,0,0,n/a,0,0,0
org.jabref.model.database.event.BibDatabaseContextChangedEvent,7,0,0,0,0,3,n/a,0,0,0
org.jabref.model.database.event.ChangePropagation,2,2,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.model.database.event.CoarseChangeFilter,9,8,0,2,16,0,1.4,0.8,17,7
org.jabref.model.database.event.EntriesAddedEvent,12,10,2,1,2,0,1,1.67,4,3
org.jabref.model.database.event.EntriesRemovedEvent,10,8,2,0,2,0,1,1.5,4,2
org.jabref.model.database.shared.DBMSType,9,13,n/a,4,n/a,n/a,1,1.33,7,6
org.jabref.model.database.shared.DatabaseConnection,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jabref.model.database.shared.DatabaseConnectionProperties,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,n/a
org.jabref.model.database.shared.DatabaseLocation,6,2,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.model.database.shared.DatabaseNotSupportedException,4,1,0,0,1,0,1,0,1,1
org.jabref.model.database.shared.DatabaseSynchronizer,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a
org.jabref.model.entry.Author,19,21,0,3,132,0,3.25,0.69,17,52
org.jabref.model.entry.AuthorList,50,40,0,1,157,0,2.45,1.14,34,71
org.jabref.model.entry.AuthorListParser,2,19,0,1,84,0,15.75,1.5,6,63
org.jabref.model.entry.BibEntry,364,89,0,6,282,1,1.77,0.99,115,133
org.jabref.model.entry.BibEntry.GetFieldInterface,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.model.entry.BibEntryType,40,18,0,2,60,0,1.27,0.4,17,19
org.jabref.model.entry.BibEntryTypeBuilder,12,14,0,4,44,0,1,1.09,13,11
org.jabref.model.entry.BibEntryTypesManager,40,15,0,2,20,0,1.92,1.5,32,23
org.jabref.model.entry.BibEntryTypesManager.InternalEntryTypes,3,8,0,1,20,0,1.17,0.83,7,7
org.jabref.model.entry.BibtexString,20,22,0,1,28,0,1.31,0.44,18,21
org.jabref.model.entry.BibtexString.Type,2,7,n/a,1,n/a,n/a,3,1,3,6
org.jabref.model.entry.CanonicalBibEntry,5,2,0,1,32,0,2.5,0.5,11,5
org.jabref.model.entry.Date,7,17,0,4,58,0,1.44,0.88,16,23
org.jabref.model.entry.EntryConverter,6,4,0,0,13,0,1,0,1,1
org.jabref.model.entry.EntryLinkList,4,4,0,1,9,0,1.67,1,4,5
org.jabref.model.entry.FileFieldParser,8,2,0,1,41,0,7.5,1,6,15
org.jabref.model.entry.FileFieldWriter,7,6,0,4,20,0,1.67,0.83,9,10
org.jabref.model.entry.IdGenerator,3,4,0,1,4,0,1,0,2,2
org.jabref.model.entry.Keyword,12,25,1,3,37,0,1.33,0.67,17,16
org.jabref.model.entry.KeywordList,11,30,0,1,58,0,1.28,0.79,31,37
org.jabref.model.entry.LinkedFile,41,27,0,2,69,0,1.26,0.78,25,29
org.jabref.model.entry.Month,19,26,n/a,3,n/a,n/a,3.1,0.7,12,31
org.jabref.model.entry.ParsedEntryLink,5,11,0,1,9,0,1.25,0.62,10,10
org.jabref.model.entry.SharedBibEntryData,7,7,0,2,0,0,1,0.4,5,5
org.jabref.model.entry.event.EntriesEvent,14,6,1,2,n/a,3,1,0.75,4,4
org.jabref.model.entry.event.EntriesEventSource,13,4,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.model.entry.event.EntryChangedEvent,10,9,2,1,6,1,1,1,6,3
org.jabref.model.entry.event.FieldAddedOrRemovedEvent,4,23,4,0,1,0,1,2,2,1
org.jabref.model.entry.event.FieldChangedEvent,11,22,3,5,16,1,1.33,1.56,15,12
org.jabref.model.entry.field.BibField,11,9,0,2,9,0,1.29,0.57,8,9
org.jabref.model.entry.field.Field,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a
org.jabref.model.entry.field.FieldFactory,55,22,0,8,78,0,1.05,0.55,28,21
org.jabref.model.entry.field.FieldPriority,5,2,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.model.entry.field.FieldProperty,19,22,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.model.entry.field.IEEEField,5,26,n/a,4,n/a,n/a,1,0.8,6,5
org.jabref.model.entry.field.InternalField,46,26,n/a,4,n/a,n/a,1,0.83,7,6
org.jabref.model.entry.field.OrFields,15,6,0,3,18,0,1.17,0.67,8,7
org.jabref.model.entry.field.SpecialField,18,26,n/a,7,n/a,n/a,1.11,0.44,13,10
org.jabref.model.entry.field.SpecialFieldValue,7,22,n/a,2,n/a,n/a,3.4,0.4,5,17
org.jabref.model.entry.field.StandardField,137,131,n/a,5,n/a,n/a,1.11,1.22,11,10
org.jabref.model.entry.field.UnknownField,30,15,0,3,5,0,1.29,0.29,8,9
org.jabref.model.entry.identifier.ArXivIdentifier,6,15,0,4,31,0,1.7,0.5,10,17
org.jabref.model.entry.identifier.DOI,28,28,0,5,42,0,1.45,0.36,11,16
org.jabref.model.entry.identifier.Eprint,5,16,0,3,22,0,1.29,0.29,7,9
org.jabref.model.entry.identifier.ISBN,6,17,0,2,23,0,1.67,0.17,12,20
org.jabref.model.entry.identifier.ISSN,2,8,0,1,13,0,2,0.2,5,10
org.jabref.model.entry.identifier.Identifier,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
org.jabref.model.entry.identifier.MathSciNetId,6,12,0,3,11,0,1.25,0.38,9,10
org.jabref.model.entry.types.BiblatexEntryTypeDefinitions,10,36,0,0,204,0,n/a,0,10,0
org.jabref.model.entry.types.BibtexEntryTypeDefinitions,10,16,0,0,57,0,1,0,7,1
org.jabref.model.entry.types.EntryType,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jabref.model.entry.types.EntryTypeFactory,26,6,0,3,34,0,1.33,1,13,8
org.jabref.model.entry.types.IEEETranEntryType,10,12,n/a,2,n/a,n/a,1,0.5,5,4
org.jabref.model.entry.types.IEEETranEntryTypeDefinitions,9,7,0,0,19,0,1,0,7,1
org.jabref.model.entry.types.StandardEntryType,36,38,n/a,1,n/a,n/a,1,0.33,3,3
org.jabref.model.entry.types.UnknownEntryType,4,9,0,1,7,0,1.33,0.33,7,8
org.jabref.model.groups.AbstractGroup,27,29,0,9,n/a,5,1.47,0.55,23,28
org.jabref.model.groups.AllEntriesGroup,8,35,1,3,7,0,1,0.5,8,6
org.jabref.model.groups.AutomaticGroup,10,34,1,4,n/a,2,1,1,7,4
