V5-0,Mon, 18 May 2020 19:09:08 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
org.jabref.gui.duplicationFinder.DuplicateResolverDialog.DuplicateResolverType,4,4,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.duplicationFinder.DuplicateSearch,25,19,1,1,8,0,4.17,1.67,38,25
org.jabref.gui.duplicationFinder.DuplicateSearch.DuplicateSearchResult,2,9,0,1,8,0,1,0.83,6,6
org.jabref.gui.edit.CopyBibTeXKeyAndLinkAction,13,5,0,1,35,0,3.5,1,11,7
org.jabref.gui.edit.CopyDoiUrlAction,8,9,1,1,14,0,1.5,0.5,7,3
org.jabref.gui.edit.ManageKeywordsAction,8,9,1,1,9,0,1,0.5,9,2
org.jabref.gui.edit.ManageKeywordsDialog,11,15,1,1,41,0,2,0.5,10,4
org.jabref.gui.edit.ManageKeywordsDisplayType,2,2,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.edit.ManageKeywordsViewModel,11,13,0,2,43,0,2.75,0.88,29,22
org.jabref.gui.edit.MassSetFieldsAction,8,11,1,1,8,0,1,1.5,8,2
org.jabref.gui.edit.MassSetFieldsDialog,13,24,1,1,117,0,3.17,2.5,17,19
org.jabref.gui.edit.OpenBrowserAction,3,9,1,1,1,0,1,0.5,3,2
org.jabref.gui.edit.ReplaceStringAction,4,9,1,1,1,0,1,0.5,4,2
org.jabref.gui.edit.ReplaceStringView,7,16,1,1,29,0,1.33,0.33,13,4
org.jabref.gui.edit.ReplaceStringViewModel,10,19,1,1,28,0,1.89,0.67,21,17
org.jabref.gui.entryeditor.DeprecatedFieldsTab,16,36,2,1,19,0,1.5,5,8,3
org.jabref.gui.entryeditor.EntryEditor,43,37,0,1,168,0,2.41,0.29,68,41
org.jabref.gui.entryeditor.EntryEditorPreferences,13,25,0,11,0,0,1,0.86,14,14
org.jabref.gui.entryeditor.EntryEditorTab,10,8,0,4,n/a,7,1.25,0.5,8,5
org.jabref.gui.entryeditor.EntryEditorTabList,3,2,0,1,11,0,2.5,0.5,5,5
org.jabref.gui.entryeditor.FieldsEditorTab,23,35,1,2,n/a,6,1.92,1.71,27,25
org.jabref.gui.entryeditor.LatexCitationsTab,12,20,1,1,62,0,1.5,0.75,20,12
org.jabref.gui.entryeditor.LatexCitationsTabViewModel,17,25,1,1,77,0,1.42,0.75,25,17
org.jabref.gui.entryeditor.LatexCitationsTabViewModel.Status,1,4,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.entryeditor.MathSciNetTab,6,13,1,1,25,0,1.2,0.8,7,6
org.jabref.gui.entryeditor.OptionalFields2Tab,16,36,2,1,14,0,1.5,5,8,3
org.jabref.gui.entryeditor.OptionalFieldsTab,17,36,2,1,19,0,1.5,5,8,3
org.jabref.gui.entryeditor.OtherFieldsTab,18,37,2,1,38,0,1.5,5.5,9,3
org.jabref.gui.entryeditor.PreviewTab,11,18,1,1,9,0,1.6,1.2,13,8
org.jabref.gui.entryeditor.RelatedArticlesTab,13,19,1,1,136,0,1.43,1.29,22,10
org.jabref.gui.entryeditor.RequiredFieldsTab,18,36,2,1,18,0,2,5,9,4
org.jabref.gui.entryeditor.SourceTab,31,30,1,2,102,0,3.25,1.88,47,26
org.jabref.gui.entryeditor.SourceTab.EditAction,3,9,1,1,5,0,3,0.5,2,6
org.jabref.gui.entryeditor.SourceTab.InputMethodRequestsObject,1,4,0,4,0,0,1,0.75,4,4
org.jabref.gui.entryeditor.UserDefinedFieldsTab,14,36,2,1,6,0,1,6,4,2
org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationTab,7,12,1,2,10,0,1,1,6,3
org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationTabView,8,16,0,2,76,0,1,0.75,18,4
org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationTabViewModel,12,21,1,3,52,0,1.1,0.5,20,11
org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationViewModel,7,20,0,4,51,0,1.54,0.15,23,20
org.jabref.gui.errorconsole.ErrorConsoleView,14,22,1,1,60,0,1.38,0.14,17,11
org.jabref.gui.errorconsole.ErrorConsoleViewModel,10,14,1,2,39,0,1.14,0.71,21,8
org.jabref.gui.errorconsole.LogEventViewModel,6,7,0,1,15,0,2,0.17,11,12
org.jabref.gui.exporter.CreateModifyExporterDialogView,8,18,1,1,17,0,1.33,1.67,10,4
org.jabref.gui.exporter.CreateModifyExporterDialogViewModel,13,14,1,1,43,0,1.43,0.57,22,10
org.jabref.gui.exporter.ExportCommand,22,15,1,1,70,0,1.5,1.75,37,6
org.jabref.gui.exporter.ExportCustomizationDialogView,9,19,1,1,36,0,1,0,11,2
org.jabref.gui.exporter.ExportCustomizationDialogViewModel,8,13,1,1,22,0,1.5,0.38,13,12
org.jabref.gui.exporter.ExportToClipboardAction,18,18,1,1,0,0,2,1.17,26,12
org.jabref.gui.exporter.ExportToClipboardAction.ExportResult,2,3,0,0,0,0,1,2,1,1
org.jabref.gui.exporter.ExporterViewModel,7,9,0,4,8,0,1,0.2,9,5
org.jabref.gui.exporter.ManageCustomExportsAction,3,7,1,1,1,0,1,0,2,1
org.jabref.gui.exporter.SaveAllAction,7,10,1,1,11,0,2,0.5,9,4
org.jabref.gui.exporter.SaveDatabaseAction,30,18,0,1,157,0,2,1.33,74,24
org.jabref.gui.exporter.SaveDatabaseAction.SaveDatabaseMode,2,2,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.exporter.WriteXMPAction,12,19,1,1,35,0,3.75,0.25,24,15
org.jabref.gui.exporter.WriteXMPAction.OptionsDialog,3,18,1,2,35,0,1.17,0,7,7
org.jabref.gui.externalfiles.AutoLinkFilesAction,14,13,1,1,30,0,1.5,2.5,15,6
org.jabref.gui.externalfiles.AutoSetFileLinksUtil,20,8,0,1,37,0,2.5,2.5,18,10
org.jabref.gui.externalfiles.DownloadFullTextAction,16,14,1,1,88,0,2.6,1.25,30,13
org.jabref.gui.externalfiles.ExternalFilesEntryLinker,14,12,0,1,27,0,1.57,1.71,20,11
org.jabref.gui.externalfiles.FileDownloadTask,4,38,1,1,9,0,1,1,7,2
org.jabref.gui.externalfiles.FindUnlinkedFilesAction,7,10,1,1,7,0,1,1,8,2
org.jabref.gui.externalfiles.FindUnlinkedFilesDialog,23,26,1,1,1,0,2.88,0.75,41,23
org.jabref.gui.externalfiles.FindUnlinkedFilesDialog.FileNodeWrapper,2,4,0,0,1,0,1,1.5,2,2
org.jabref.gui.externalfiles.ImportHandler,28,15,0,1,40,0,2.29,2.14,28,16
org.jabref.gui.externalfiletype.CustomExternalFileType,9,31,0,2,20,0,1.47,0.79,25,28
org.jabref.gui.externalfiletype.CustomizeExternalFileTypesDialog,10,18,1,1,52,0,1.25,0,14,5
org.jabref.gui.externalfiletype.CustomizeExternalFileTypesViewModel,9,9,0,1,21,0,1.12,0.5,17,9
org.jabref.gui.externalfiletype.EditExternalFileTypeEntryDialog,9,22,1,1,42,0,1.33,1,17,4
org.jabref.gui.externalfiletype.EditExternalFileTypeViewModel,3,17,0,3,34,0,1.33,0.11,19,12
